subj,trial,id,f1_l,f2_l,f3_l,f1_r,f2_r,f3_r,resp,rt,n,nd,nc,critical,train
s101,1,37,1,0,1,1,1,0,0.659000015,4.8425,3,2,1,FALSE,TRUE
s101,2,71,1,1,0,1,0,0,0.623000031,10.0849,2,1,1,FALSE,TRUE
s101,3,65,0,1,1,1,1,1,0.623000031,4.9376,3,1,2,TRUE,TRUE
s101,4,44,0,0,1,0,0,1,0.998000031,5.1434,2,0,2,FALSE,FALSE
s101,5,67,0,1,1,1,1,0,0.112000008,3.2026,3,2,1,FALSE,TRUE
s101,6,11,1,0,0,1,0,0,0.996000061,2.6037,1,0,1,FALSE,FALSE
s101,7,85,0,1,0,1,1,1,0.240999985,4.9171,3,2,1,FALSE,TRUE
s101,8,81,0,1,0,1,0,0,0.049000015,3.9,2,2,0,FALSE,FALSE
s101,9,74,1,1,0,0,0,1,0.049000015,3.5256,3,3,0,FALSE,FALSE
s101,10,56,1,1,1,0,1,1,0.663000031,3.849,3,1,2,TRUE,TRUE
s101,11,27,0,0,0,1,1,0,0.095,3.0547,2,2,0,FALSE,FALSE
s101,12,28,0,0,0,0,1,0,0.45,5.4804,2,1,1,FALSE,TRUE
s101,13,64,0,1,1,0,0,1,0.354000015,6.9443,3,1,2,FALSE,TRUE
s101,14,57,1,1,1,1,1,0,0.293000031,2.3739,3,1,2,FALSE,TRUE
s101,15,15,1,0,0,1,1,1,0.293000031,3.2134,3,2,1,FALSE,TRUE
s101,16,12,1,0,0,0,0,0,0.208000031,3.2513,1,1,0,TRUE,FALSE
s101,17,14,1,0,0,0,0,1,0.208000031,1.7449,2,2,0,FALSE,FALSE
s101,18,76,1,1,0,0,1,1,0.208000031,1.9781,3,2,1,FALSE,TRUE
s101,19,18,1,0,0,0,1,0,0.208000031,1.8466,2,2,0,FALSE,FALSE
s101,20,84,0,1,0,0,0,1,0.208000031,2.024,3,2,1,FALSE,TRUE
s101,21,53,1,1,1,1,0,1,0.475999985,2.9562,3,1,2,FALSE,TRUE
s101,22,88,0,1,0,0,1,0,0.998000031,3.1883,2,0,2,FALSE,FALSE
